"PrimerPair","Primer1","Start","End","size","n","lab"
"rabvPeru2_34_LEFT_rabvPeru2_36_RIGHT","rabvPeru2_34_LEFT",9653,10629,976,10,34
"rabvPeru2_35_LEFT_rabvPeru2_35_RIGHT","rabvPeru2_35_LEFT",9978,10354,376,5,35
"rabvPeru2_35_LEFT_rabvPeru2_36_RIGHT","rabvPeru2_35_LEFT",9978,10629,651,4,35
"rabvPeru2_35_LEFT_rabvPeru2_37_RIGHT","rabvPeru2_35_LEFT",9978,10917,939,5,35
"rabvPeru2_36_LEFT_rabvPeru2_36_RIGHT","rabvPeru2_36_LEFT",10242,10629,387,36,36
"rabvPeru2_36_LEFT_rabvPeru2_37_RIGHT","rabvPeru2_36_LEFT",10242,10917,675,6,36
"rabvPeru2_36_LEFT_rabvPeru2_38_RIGHT","rabvPeru2_36_LEFT",10242,11243,1001,1,36
"rabvPeru2_36_LEFT_rabvPeru2_39_RIGHT","rabvPeru2_36_LEFT",10242,11499,1257,1,36
"rabvPeru2_37_LEFT_rabvPeru2_36_RIGHT","rabvPeru2_37_LEFT",10530,10629,99,1,37
"rabvPeru2_37_LEFT_rabvPeru2_37_RIGHT","rabvPeru2_37_LEFT",10530,10917,387,3,37
"rabvPeru2_37_LEFT_rabvPeru2_38_RIGHT","rabvPeru2_37_LEFT",10530,11243,713,1,37
"rabvPeru2_37_LEFT_rabvPeru2_39_RIGHT","rabvPeru2_37_LEFT",10530,11499,969,5,37
"rabvPeru2_38_LEFT_rabvPeru2_37_RIGHT","rabvPeru2_38_LEFT",10810,10917,107,1,38
"rabvPeru2_38_LEFT_rabvPeru2_38_RIGHT","rabvPeru2_38_LEFT",10810,11243,433,8,38
"rabvPeru2_38_LEFT_rabvPeru2_39_RIGHT","rabvPeru2_38_LEFT",10810,11499,689,3,38
"rabvPeru2_38_LEFT_rabvPeru2_40_RIGHT","rabvPeru2_38_LEFT",10810,11547,737,2,38
"rabvPeru2_38_LEFT_rabvPeru2_41_RIGHT","rabvPeru2_38_LEFT",10810,11888,1078,28,38
"rabvPeru2_39_LEFT_rabvPeru2_39_RIGHT","rabvPeru2_39_LEFT",11128,11499,371,18,39
"rabvPeru2_39_LEFT_rabvPeru2_40_RIGHT","rabvPeru2_39_LEFT",11128,11547,419,3,39
"rabvPeru2_39_LEFT_rabvPeru2_41_RIGHT","rabvPeru2_39_LEFT",11128,11888,760,23,39
"rabvPeru2_3_LEFT_rabvPeru2_3_RIGHT","rabvPeru2_3_LEFT",649,1075,426,55,3
"rabvPeru2_3_LEFT_rabvPeru2_4_RIGHT","rabvPeru2_3_LEFT",649,1377,728,1,3
"rabvPeru2_3_LEFT_rabvPeru2_5_RIGHT","rabvPeru2_3_LEFT",649,1681,1032,8,3
"rabvPeru2_40_LEFT_rabvPeru2_41_RIGHT","rabvPeru2_40_LEFT",11392,11888,496,25,40
"rabvPeru2_41_LEFT_rabvPeru2_41_RIGHT","rabvPeru2_41_LEFT",11527,11888,361,15,41
"rabvPeru2_4_LEFT_rabvPeru2_4_RIGHT","rabvPeru2_4_LEFT",978,1377,399,42,4
"rabvPeru2_4_LEFT_rabvPeru2_5_RIGHT","rabvPeru2_4_LEFT",978,1681,703,1,4
"rabvPeru2_5_LEFT_rabvPeru2_5_RIGHT","rabvPeru2_5_LEFT",1272,1681,409,16,5
"rabvPeru2_5_LEFT_rabvPeru2_6_RIGHT","rabvPeru2_5_LEFT",1272,1928,656,1,5
"rabvPeru2_5_LEFT_rabvPeru2_7_RIGHT","rabvPeru2_5_LEFT",1272,2249,977,1,5
"rabvPeru2_6_LEFT_rabvPeru2_5_RIGHT","rabvPeru2_6_LEFT",1568,1681,113,1,6
"rabvPeru2_6_LEFT_rabvPeru2_6_RIGHT","rabvPeru2_6_LEFT",1568,1928,360,6,6
"rabvPeru2_6_LEFT_rabvPeru2_7_RIGHT","rabvPeru2_6_LEFT",1568,2249,681,5,6
"rabvPeru2_6_LEFT_rabvPeru2_8_RIGHT","rabvPeru2_6_LEFT",1568,2565,997,31,6
"rabvPeru2_6_LEFT_rabvPeru2_9_RIGHT","rabvPeru2_6_LEFT",1568,2835,1267,1,6
"rabvPeru2_7_LEFT_rabvPeru2_10_RIGHT","rabvPeru2_7_LEFT",1823,3096,1273,2,7
"rabvPeru2_7_LEFT_rabvPeru2_7_RIGHT","rabvPeru2_7_LEFT",1823,2249,426,24,7
"rabvPeru2_7_LEFT_rabvPeru2_8_RIGHT","rabvPeru2_7_LEFT",1823,2565,742,3,7
"rabvPeru2_7_LEFT_rabvPeru2_9_RIGHT","rabvPeru2_7_LEFT",1823,2835,1012,27,7
"rabvPeru2_8_LEFT_rabvPeru2_10_RIGHT","rabvPeru2_8_LEFT",2153,3096,943,5,8
"rabvPeru2_8_LEFT_rabvPeru2_8_RIGHT","rabvPeru2_8_LEFT",2153,2565,412,26,8
"rabvPeru2_9_LEFT_rabvPeru2_10_RIGHT","rabvPeru2_9_LEFT",2443,3096,653,4,9
"rabvPeru2_9_LEFT_rabvPeru2_11_RIGHT","rabvPeru2_9_LEFT",2443,3412,969,2,9
"rabvPeru2_9_LEFT_rabvPeru2_9_RIGHT","rabvPeru2_9_LEFT",2443,2835,392,2,9
